Name,ID,Vicinity,latitude,longitude,Rating,Url
Harmony Apartment,ChIJj7uyOwMXrjsRlfixjtHruVM,"841, New no 72/1, 2, Arabic College Main Rd, B M Layout, Venkateshpuram, Kadugondanahalli, Bengaluru",13.0170132,77.6182944,3.9,https://www.google.com/maps/place/?q=place_id:ChIJj7uyOwMXrjsRlfixjtHruVM
Hilife Sunnyside Apartment,ChIJbxcZeAcTrjsRenKSS8MPBvI,"VPW2+8HG, hilife sunnyside apartment, behind RGA Tech Park, Carmelaram, Hadosiddapura, post, Bengaluru",12.8957533,77.701423,3.7,https://www.google.com/maps/place/?q=place_id:ChIJbxcZeAcTrjsRenKSS8MPBvI
Jasmine Apartment,ChIJD0AFGL8UrjsRwYgAetiZCpI,"Jasmine Apartment Sy 33,4th cross 7th main, Hosur Rd, Papayya layout, Garvebhavi Palya, Bengaluru",12.9007493,77.6414831,4.1,https://www.google.com/maps/place/?q=place_id:ChIJD0AFGL8UrjsRwYgAetiZCpI
Ashirwad Apartment,ChIJ65o90C8UrjsRQiDvCdJ5NS0,"1688, East Rd, Rose Garden, Austin Town, Neelasandra, Bengaluru",12.9581569,77.6164539,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ65o90C8UrjsRQiDvCdJ5NS0
SLS Springs Apartment,ChIJYRiavV8TrjsRwuVynHSXlFk,"Sy.121/2 & 122, Royal Placid Layout, nr. Vibgyor School Road, 2nd Sector, HSR Layout, Bengaluru",12.900729,77.6553297,4.5,https://www.google.com/maps/place/?q=place_id:ChIJYRiavV8TrjsRwuVynHSXlFk
Waterfront Apartment,ChIJKQ8VV1oZrjsRtzDbOCWeoIM,"Skyline Waterfront Apartment, Ambedkar Colony, Yelahanka, Bengaluru",13.0905888,77.583931,0,https://www.google.com/maps/place/?q=place_id:ChIJKQ8VV1oZrjsRtzDbOCWeoIM
Prestige Brooklyn Heights Apartment,ChIJaxU9zYMVrjsRp_EC_yk5fxs,"Kanakapura Rd, opposite to Banashankari Temple, 1st Phase, J. P. Nagar, Bengaluru",12.9150875,77.5738006,4.4,https://www.google.com/maps/place/?q=place_id:ChIJaxU9zYMVrjsRp_EC_yk5fxs
ASTER GRAND Residential Apartment,ChIJAzJC474UrjsRH0lG_xLiXyw,"ASTER GRAND Apartment Site No 55&56, Vajpayee Nagar, Hosur Rd, near RNS Motors, Garvebhavipalya, Bengaluru",12.8977326,77.633932,4.1,https://www.google.com/maps/place/?q=place_id:ChIJAzJC474UrjsRH0lG_xLiXyw
Pioneer Wood Winds Apartment,ChIJQTp3AdIUrjsR0X8crevPEMw,"3rd Cross, SBI Colony, Bannerghatta Main Rd, 4th Stage, BTM 2nd Stage, Devarachikkana Halli, Bengaluru",12.8917028,77.6165712,4.5,https://www.google.com/maps/place/?q=place_id:ChIJQTp3AdIUrjsR0X8crevPEMw
Zion Apartment,ChIJSxx27-UWrjsRoRTXtPc1pMk,"45, 1st cross, Da Costa Square, Thomas Town, Cooke Town, Bengaluru",13.0034753,77.6241781,0,https://www.google.com/maps/place/?q=place_id:ChIJSxx27-UWrjsRoRTXtPc1pMk
Royal Enclave Apartment,ChIJY0acJcoTrjsRETtteJGtmME,"2nd Cross Rd, Kaveri Layout, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",12.9510903,77.69739,4,https://www.google.com/maps/place/?q=place_id:ChIJY0acJcoTrjsRETtteJGtmME
CRESCENT HARMONY APARTMENT,ChIJ0Vi_mAwXrjsR4OMb6o5xNkk,"Govindapura Main Rd, N Block, Govindapura, Nagavara, Bengaluru",13.0334762,77.6140776,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0Vi_mAwXrjsR4OMb6o5xNkk
Gangothri Apartment,ChIJh8Q5VgEUrjsRdxpRfRJOGEQ,"26, 10th Cross Rd, HAL 3rd Stage, Kodihalli, Bengaluru",12.9645605,77.6480296,4.3,https://www.google.com/maps/place/?q=place_id:ChIJh8Q5VgEUrjsRdxpRfRJOGEQ
Greenfields Apartment,ChIJUVWFrTkSrjsRJqtPkmGt1Lk,"XP37+868, Gulmohar Enclave Rd, Silver Springs Layout, Marathahalli, Bengaluru",12.9532975,77.7131075,0,https://www.google.com/maps/place/?q=place_id:ChIJUVWFrTkSrjsRJqtPkmGt1Lk
SLV Belmont Apartment,ChIJgzUIoa0RrjsRTVPaQ-h4Yc8,"37/2, Basavanapura Rd, Chikkabasavanapura, Krishnarajapura, Bengaluru",13.0147876,77.7093506,5,https://www.google.com/maps/place/?q=place_id:ChIJgzUIoa0RrjsRTVPaQ-h4Yc8
