Name,ID,Vicinity,latitude,longitude,Rating,Url
Zeon Charging Station,ChIJNdrWePEVrjsRIKZ5msD1RDw,"The Forum Mall, Hosur Rd, Chikku Lakshmaiah Layout, Koramangala, Bengaluru",12.9346426,77.6113047,4.7,https://www.google.com/maps/place/?q=place_id:ChIJNdrWePEVrjsRIKZ5msD1RDw
BESCOM Charging Station,ChIJcdr133UVrjsRulTQMm27_JA,"16, 17th Main Rd, Aicobo Nagar, 1st Stage, BTM 1st Stage, Bengaluru",12.9168833,77.610429,3.8,https://www.google.com/maps/place/?q=place_id:ChIJcdr133UVrjsRulTQMm27_JA
Electric Vehicle Charging Station,ChIJCV0IIuc_rjsRkB0i-7NOyfg,"XG2R+659, MM Rd, Byatarayanapura, Banashankari Stage I, Bapuji Nagar, Bengaluru",12.9505376,77.5404331,3.9,https://www.google.com/maps/place/?q=place_id:ChIJCV0IIuc_rjsRkB0i-7NOyfg
Porsche Destination Charging Station,ChIJRQk0XncWrjsRjhxoYmRmNxg,"0, 24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru",12.971572,77.5961296,0,https://www.google.com/maps/place/?q=place_id:ChIJRQk0XncWrjsRjhxoYmRmNxg
Kazam Charging Station,ChIJ3__MRoIVrjsR2ylhlqYJIMI,"No. 12, 4/2, 1 Cross, Cross, JC Rd, Journalist Colony, Kalasipalya, Bengaluru",12.9570836,77.5812958,2,https://www.google.com/maps/place/?q=place_id:ChIJ3__MRoIVrjsR2ylhlqYJIMI
Porsche Destination Charging Station,ChIJhZM56Xg9rjsRPxjWVZFBcEE,"1, Dr Rajkumar Rd, Main Road, Bengaluru",13.01234,77.55447,5,https://www.google.com/maps/place/?q=place_id:ChIJhZM56Xg9rjsRPxjWVZFBcEE
Ather Grid Charging Station,ChIJucSoJHEVrjsR1NxQONByH6M,"#64, 10th Main Rd, 4th Block, 5th Block, Jayanagar, Bengaluru",12.9224993,77.5847299,4.1,https://www.google.com/maps/place/?q=place_id:ChIJucSoJHEVrjsR1NxQONByH6M
Kazam Charging Station,ChIJD7VpRAYXrjsR_rdR2wk46hM,"76, 14th Cross Rd, Thimaiah Garden, Devara Jeevanahalli, Bengaluru",13.019225,77.5967623,1,https://www.google.com/maps/place/?q=place_id:ChIJD7VpRAYXrjsR_rdR2wk46hM
Charzer Charging Station,ChIJHzvxfIwVrjsRjFYDrFxJzjk,"#44.45 shop no 1, Hosur Rd, near HDFC bank Singasandra, Bommanahalli, Bengaluru",12.9423658,77.6080003,4,https://www.google.com/maps/place/?q=place_id:ChIJHzvxfIwVrjsRjFYDrFxJzjk
Kazam Charging Station,ChIJ3z3iPigVrjsR3ghbVH-R8IA,"WH8V+C78, S End C Cross Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru",12.916035,77.5932147,0,https://www.google.com/maps/place/?q=place_id:ChIJ3z3iPigVrjsR3ghbVH-R8IA
Charzer Charging Station,ChIJjUQa_BY9rjsRsu_eZ1mBHJU,"XGGM+CF, Govindaraja Nagar Ward, Govindaraja Nagar, Vijayanagar, Bengaluru",12.9763407,77.5342245,0,https://www.google.com/maps/place/?q=place_id:ChIJjUQa_BY9rjsRsu_eZ1mBHJU
Charzer Charging Station,ChIJuTmb8XwXrjsRmkZgm1j1cvM,"23, 2nd Main Rd, Vyalikaval, Kodandarampura, Guttahalli, Bengaluru",13.0005326,77.5783275,0,https://www.google.com/maps/place/?q=place_id:ChIJuTmb8XwXrjsRmkZgm1j1cvM
Charzer Charging Station,ChIJvySX5y49rjsRtL8d6wFNNEw,"XGCW+4H, Cholourpalya, Vijayanagar, Bengaluru",12.9703379,77.5464765,1,https://www.google.com/maps/place/?q=place_id:ChIJvySX5y49rjsRtL8d6wFNNEw
Charzer Charging Station,ChIJX_K2IXo9rjsRve0TpWoBOos,"#1176/A, 4th Cross Rd, Prakash Nagar, Rajajinagar, Bengaluru",12.9973969,77.5538832,0,https://www.google.com/maps/place/?q=place_id:ChIJX_K2IXo9rjsRve0TpWoBOos
Charzer Charging Station,ChIJmYYFnDIVrjsRl7j-G__VJuw,"WHMF+XP, Tata Silk Farm, Jayanagar, Bengaluru",12.9349073,77.5743587,5,https://www.google.com/maps/place/?q=place_id:ChIJmYYFnDIVrjsRl7j-G__VJuw
Kazam Charging Station,ChIJ21HyfA89rjsRnOO11t8H7JM,"235, 9th Cross Rd, 3 Stage, Basaveshwar Nagar, Mahaganapathi Nagar, Rajajinagar, Bengaluru",12.9879297,77.5449009,0,https://www.google.com/maps/place/?q=place_id:ChIJ21HyfA89rjsRnOO11t8H7JM
Kazam charging station,ChIJCfN4AiI9rjsR2hGf0xGnflk,"19, 2nd Main Rd, 1st Block, Prakash Nagar, Rajajinagar, Bengaluru",12.9982695,77.5528326,0,https://www.google.com/maps/place/?q=place_id:ChIJCfN4AiI9rjsR2hGf0xGnflk
Charzer Charging Station,ChIJ--eoi5o9rjsRBk2Lm0ZWmHY,"46, Dr Rajkumar Rd, Prakash Nagar, Rajajinagar, Bengaluru",12.9915956,77.5576509,1,https://www.google.com/maps/place/?q=place_id:ChIJ--eoi5o9rjsRBk2Lm0ZWmHY
Shiva gowri,ChIJubmZ55gVrjsRQ1cbchT55Jg,"1070, 27th Main Rd, Putlanpalya, Jayanagara 9th Block, Jayanagar, Bengaluru",12.918853,77.594394,0,https://www.google.com/maps/place/?q=place_id:ChIJubmZ55gVrjsRQ1cbchT55Jg
SUN Mobility Charging Station,ChIJZayWauYVrjsR74u12gUMCbs,"80 Feet Rd, opposite Passport Office, Koramangala 8th Block, Koramangala, Bengaluru",12.9454944,77.6188095,5,https://www.google.com/maps/place/?q=place_id:ChIJZayWauYVrjsR74u12gUMCbs
Kazam Charging Station,ChIJRT7t9ZoVrjsRVIkLIw-J_7k,"#657, 17th D Main Rd, KHB Colony, 6th Block, Koramangala, Bengaluru",12.9363279,77.6231673,4.9,https://www.google.com/maps/place/?q=place_id:ChIJRT7t9ZoVrjsRVIkLIw-J_7k
Charzer Charging Station,ChIJN7_HKIg9rjsRFemrlglz8b8,"8, 22nd Cross Rd, Govindaraja Nagar Ward, PF Layout, Vijayanagar, Bengaluru",12.9760763,77.5354187,0,https://www.google.com/maps/place/?q=place_id:ChIJN7_HKIg9rjsRFemrlglz8b8
Charzer Charging Station,ChIJTT1IBc09rjsRR3dBVhFrkxw,"867, Dr MC Modi Hospital Rd, West of Chord Road 2nd Stage, West of Chord Road, Indiranagar, Basaveshwar Nagar, Bengaluru",12.9976902,77.5447057,0,https://www.google.com/maps/place/?q=place_id:ChIJTT1IBc09rjsRR3dBVhFrkxw
Electric Vehicle Charging Station,ChIJA2NgpPkVrjsRRv4E4-sAUhw,"WJHH+P5J, Koramangala 3 Block, Koramangala, Bengaluru",12.9293363,77.6279024,4,https://www.google.com/maps/place/?q=place_id:ChIJA2NgpPkVrjsRRv4E4-sAUhw
Charzer Charging Station,ChIJW62R3QMXrjsRnK3JAfYqisA,"11, 17th F Cross Road, Hoysala Nagar, Indiranagar, Bengaluru",12.9787563,77.6331015,0,https://www.google.com/maps/place/?q=place_id:ChIJW62R3QMXrjsRnK3JAfYqisA
Kazam Charging Station,ChIJ-6xNYkwXrjsRd41T_rd5f1w,"154, 11th Cross Rd, next to little angels school, Vyalikaval, Kodandarampura, Malleswaram, Bengaluru",13.0019129,77.5768697,0,https://www.google.com/maps/place/?q=place_id:ChIJ-6xNYkwXrjsRd41T_rd5f1w
Electric Vehicle Charging Station,ChIJFU6eT80XrjsROYcSrgNo-Co,"XHX6+5W9, Maruthi Extension, Ramamohanapuram, Rajajinagar, Bengaluru",12.9979238,77.5623702,0,https://www.google.com/maps/place/?q=place_id:ChIJFU6eT80XrjsROYcSrgNo-Co
Kazam Charging Station,ChIJr4NXqn89rjsRrU8wdZEgGUU,"1, Hoshalli Extension, Kesava Upanagara, Vijayanagar, Bengaluru",12.9717419,77.5432263,0,https://www.google.com/maps/place/?q=place_id:ChIJr4NXqn89rjsRrU8wdZEgGUU
Electric Vehicle Charging Station,ChIJCQgwf3sXrjsRnPXgvjQXHqc,"1523, 1/53, 4th Main Rd, Nagappa Block, Srirampura, Bengaluru",12.9956521,77.5630614,0,https://www.google.com/maps/place/?q=place_id:ChIJCQgwf3sXrjsRnPXgvjQXHqc
Electric Vehicle Charging Station,ChIJCXrps-UXrjsRvtN4mu7_Uws,"15, 1, 1st Main Rd, Maruthi Extension, Srirampura, Bengaluru",12.9998653,77.5635725,5,https://www.google.com/maps/place/?q=place_id:ChIJCXrps-UXrjsRvtN4mu7_Uws
EVfranchises,ChIJKY1JcUUUrjsR0rouUURmMFg,"Regent Insignia, #456, 1st Floor, 5th Block, 18th Main, 100 Feet Rd, Koramangala, Bengaluru",12.9369493,77.620223,0,https://www.google.com/maps/place/?q=place_id:ChIJKY1JcUUUrjsR0rouUURmMFg
Electric Vehicle Charging Station,ChIJLUe6iwAVrjsRbx3IzFghnTw,"No 554/5 sree building 100 feet, Road, Annaiah Reddy Layout, Dodda Banaswadi, Bengaluru",12.9523426,77.5777609,0,https://www.google.com/maps/place/?q=place_id:ChIJLUe6iwAVrjsRbx3IzFghnTw
Kazam Charging Station,ChIJ16G13CAVrjsR0-mxknmRBiM,"8, 1st Cross Rd, Vinayaka Layout, Gavipuram extension, Kempegowda Nagar, Bengaluru",12.9545179,77.5658733,5,https://www.google.com/maps/place/?q=place_id:ChIJ16G13CAVrjsR0-mxknmRBiM
