Name,parking_id,latitude,longitude,WARD_NO,Url,final_point,grade
Baiyappanahalli Parking Backside,ChIJPRA7RfkXrjsRKvPCWRxh02o,12.9915352,77.6515927,63,https://www.google.com/maps/place/?q=place_id:ChIJPRA7RfkXrjsRKvPCWRxh02o,2134,1
Car Parking,ChIJ5cqvSGgWrjsRDhn6jJxwacA,12.988043,77.5941386,72,https://www.google.com/maps/place/?q=place_id:ChIJ5cqvSGgWrjsRDhn6jJxwacA,2832,1
Rezervd Smart Parking,ChIJLcMrT2EXrjsR8p_y13XhLIg,12.9973248,77.6007692,60,https://www.google.com/maps/place/?q=place_id:ChIJLcMrT2EXrjsR8p_y13XhLIg,3062,1
Parking Lot,ChIJbeqOUMEVrjsRm9YXc820njg,12.9495164,77.5899412,119,https://www.google.com/maps/place/?q=place_id:ChIJbeqOUMEVrjsRm9YXc820njg,3285,2
PES Car Parking,ChIJHfqhck8_rjsRaQkGXLJMzFc,12.9348305,77.5344678,37,https://www.google.com/maps/place/?q=place_id:ChIJHfqhck8_rjsRaQkGXLJMzFc,3497,2
IIITB Car Parking,ChIJlSeK6NJtrjsRveNm4V6kASw,12.8435696,77.6628059,65,https://www.google.com/maps/place/?q=place_id:ChIJlSeK6NJtrjsRveNm4V6kASw,3530,2
Karnataka High Court Parking Ground,ChIJPwJ3rnQXrjsRUBA9QiOslvY,12.9792305,77.5939743,127,https://www.google.com/maps/place/?q=place_id:ChIJPwJ3rnQXrjsRUBA9QiOslvY,3588,2
Pay & Park,ChIJSTf6oW8XrjsRw9rONZjVLFA,12.9825724,77.6096562,36,https://www.google.com/maps/place/?q=place_id:ChIJSTf6oW8XrjsRw9rONZjVLFA,3631,2
Parking,ChIJzyKUCOIUrjsR2xK0L6tcdk8,12.90647,77.6080388,31,https://www.google.com/maps/place/?q=place_id:ChIJzyKUCOIUrjsR2xK0L6tcdk8,3761,3
Shree Bhuvaneshwari Parking / OTC ROAD - Park+,ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,12.9678953,77.5790645,38,https://www.google.com/maps/place/?q=place_id:ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,3786,3
Open Parking,ChIJ9_M_dI8TrjsRluHBMwXf7Dg,12.9556625,77.7249398,107,https://www.google.com/maps/place/?q=place_id:ChIJ9_M_dI8TrjsRluHBMwXf7Dg,3965,4
Unity Building Parking Lot,ChIJfQCQsN8VrjsRTmw40xo6hAY,12.964654,77.586791,140,https://www.google.com/maps/place/?q=place_id:ChIJfQCQsN8VrjsRTmw40xo6hAY,4296,5
