Name,ID,Vicinity,latitude,longitude,Rating,Url,Grade
Parking Lot,ChIJawylbtMXrjsRhw43wAmhlQw,"239/A, CV Raman Rd, Kodandarampura, Armane Nagar, Bengaluru",13.0129735,77.5687129,3,https://www.google.com/maps/place/?q=place_id:ChIJawylbtMXrjsRhw43wAmhlQw,1
"Parking, More Mega Store",ChIJrR2aZicYrjsRmniuC_qrc6M,"2286, Kodigehalli Main Rd, Sahakar Nagar, Byatarayanapura, Bengaluru",13.0579537,77.5923,4.2,https://www.google.com/maps/place/?q=place_id:ChIJrR2aZicYrjsRmniuC_qrc6M,1
GASPLUS Auto LPG station,ChIJW6-DTCIXrjsRsEywxhNTEH8,"2JHC+57C, Nagawara Main Rd, A/C Post, Kamraj Nagar, HBR Layout, Bengaluru",13.0279498,77.6206521,4.4,https://www.google.com/maps/place/?q=place_id:ChIJW6-DTCIXrjsRsEywxhNTEH8,1
Garuda Mall,ChIJgzt5rYEWrjsRgaxtZI8bwnE,"Magrath Rd, Ashok Nagar, Bengaluru",12.9702626,77.6099629,4.1,https://www.google.com/maps/place/?q=place_id:ChIJgzt5rYEWrjsRgaxtZI8bwnE,1
Silicon Valley Pre University College,ChIJZQejCg4ZrjsR3dha4NLbdEE,"2349, 23rd A Cross Rd, Block C, Sahakar Nagar, Bengaluru",13.0613184,77.5770436,4.8,https://www.google.com/maps/place/?q=place_id:ChIJZQejCg4ZrjsR3dha4NLbdEE,1
Christ University Yeshwanthpur Campus,ChIJYVetQAo9rjsRt-HWMu-LpeU,"2GP3+GR5, Nalagadderanahalli, Peenya, Bengaluru",13.0362518,77.5046093,4.2,https://www.google.com/maps/place/?q=place_id:ChIJYVetQAo9rjsRt-HWMu-LpeU,1
BPCL - Manjunatha Fuel station,ChIJZbuZN7A9rjsROlapCiBhvWs,"2/2, Ragavendra Nagar, Bengaluru",13.0095328,77.4830283,3.9,https://www.google.com/maps/place/?q=place_id:ChIJZbuZN7A9rjsROlapCiBhvWs,1
CRESCENT HARMONY APARTMENT,ChIJ0Vi_mAwXrjsR4OMb6o5xNkk,"Govindapura Main Rd, N Block, Govindapura, Nagavara, Bengaluru",13.0334762,77.6140776,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0Vi_mAwXrjsR4OMb6o5xNkk,1
Harmony Apartment,ChIJj7uyOwMXrjsRlfixjtHruVM,"841, New no 72/1, 2, Arabic College Main Rd, B M Layout, Venkateshpuram, Kadugondanahalli, Bengaluru",13.0170132,77.6182944,3.9,https://www.google.com/maps/place/?q=place_id:ChIJj7uyOwMXrjsRlfixjtHruVM,2
Esteem Mall,ChIJvbUh-Y4XrjsREsDI5shBa0A,"Byataranyanapura, 104/6, Kempapura Main Rd, Chiranjeevi Layout, Hebbal, Bengaluru",13.049016,77.5935633,3.8,https://www.google.com/maps/place/?q=place_id:ChIJvbUh-Y4XrjsREsDI5shBa0A,2
Unnati Apartment,ChIJVc8NZFQXrjsRTRmF6BIz9R0,"Unnati Apartment 3,20 th R Cross Road, Maryanapallya, Kaveri Layout, Mariyannapalya, Hebbal Kempapura, Bengaluru",13.054295,77.6090278,3,https://www.google.com/maps/place/?q=place_id:ChIJVc8NZFQXrjsRTRmF6BIz9R0,2
Elements Mall,ChIJxTyv4WgXrjsRiqVsTY7LFBk,"Survey No. 132(P), 133(P), & 134(P), of Nagavara Village 100’ wide, Thanisandra Main Rd, Kasaba Hobli, Bengaluru",13.0450957,77.6268964,4.1,https://www.google.com/maps/place/?q=place_id:ChIJxTyv4WgXrjsRiqVsTY7LFBk,2
BP Petrol Pump,ChIJY1cpUzIXrjsRsahMn5kxum8,"30, 5th A Cross Rd, HRBR Layout 3rd Block, HRBR Layout, Kalyan Nagar, Bengaluru",13.0262852,77.6351286,3.9,https://www.google.com/maps/place/?q=place_id:ChIJY1cpUzIXrjsRsahMn5kxum8,2
Rezervd Smart Parking,ChIJLcMrT2EXrjsR8p_y13XhLIg,"No.18, Lewis Tech Park, Ground Floor, VP Deenadayalu Naidu Rd, Bengaluru",12.9973248,77.6007692,5,https://www.google.com/maps/place/?q=place_id:ChIJLcMrT2EXrjsR8p_y13XhLIg,2
Car Parking,ChIJCfOArmIWrjsRbMN8cB1dFWA,"XJH4+QWJ, Main Guard Cross Rd, Tasker Town, Shivaji Nagar, Bengaluru",12.9794698,77.6072556,3.6,https://www.google.com/maps/place/?q=place_id:ChIJCfOArmIWrjsRbMN8cB1dFWA,3
Car Parking,ChIJl5ZJtXUXrjsR8-CoB8adDw8,"6, Brigade Rd, Shanthala Nagar, Ashok Nagar, Bengaluru",12.9746845,77.6078674,3.3,https://www.google.com/maps/place/?q=place_id:ChIJl5ZJtXUXrjsR8-CoB8adDw8,3
Karnataka High Court Parking Ground,ChIJPwJ3rnQXrjsRUBA9QiOslvY,"XHHV+MHX, Ambedkar Veedhi, Bengaluru",12.9792305,77.5939743,4,https://www.google.com/maps/place/?q=place_id:ChIJPwJ3rnQXrjsRUBA9QiOslvY,3
Bengaluru City University,ChIJTXjO3wwWrjsR9RKRZL55qAU,"XHFM+X9X, Central College Campus, Dr Ambedkar Rd, Bengaluru",12.9749803,77.5834875,4,https://www.google.com/maps/place/?q=place_id:ChIJTXjO3wwWrjsR9RKRZL55qAU,3
Car and Bike Parking,ChIJE4gplA4WrjsRFHUCUIp1Fgk,"76, Anchepet, Chickpet, Bengaluru",12.973252,77.57803,4,https://www.google.com/maps/place/?q=place_id:ChIJE4gplA4WrjsRFHUCUIp1Fgk,3
Global Malls,ChIJlb8QkIwXrjsRGUxSwTzIMhQ,"Gopalapura, Binnipete, Bengaluru",12.9817451,77.5637925,4.3,https://www.google.com/maps/place/?q=place_id:ChIJlb8QkIwXrjsRGUxSwTzIMhQ,4
