Name,parking_id,latitude,longitude,Apartments_nearby,charging_station_nearby,Food_court_nearby,Gas_station_nearby,Malls_nearby,WARD_NO,FREQ,Url,chg_den,min,rest,final_point
BBMP Parking Space,ChIJ_ai2SuYVrjsRYEPrdzFxh7E,12.9568355,77.5817825,6,14,5,3,10,158,452,https://www.google.com/maps/place/?q=place_id:ChIJ_ai2SuYVrjsRYEPrdzFxh7E,0.030973451,4534,165,4699
Shanti Nagar parking,ChIJWaLM37AVrjsRivlbh9NwR0o,12.9540534,77.5919008,7,23,5,4,12,102,420,https://www.google.com/maps/place/?q=place_id:ChIJWaLM37AVrjsRivlbh9NwR0o,0.054761905,4223,195,4418
BDA Complex Parking,ChIJ7VYXtlsUrjsRXghoSce9Cfw,12.9304421,77.6225366,8,17,13,3,7,157,427,https://www.google.com/maps/place/?q=place_id:ChIJ7VYXtlsUrjsRXghoSce9Cfw,0.039812646,4287,210,4497
HAL parking lot,ChIJuccM0rMWrjsRhgG0RP5Cn0c,12.9841697,77.6486061,5,6,6,2,7,89,498,https://www.google.com/maps/place/?q=place_id:ChIJuccM0rMWrjsRhgG0RP5Cn0c,0.012048193,4986,135,5121
Unity Building Parking Lot,ChIJfQCQsN8VrjsRTmw40xo6hAY,12.964654,77.586791,6,16,6,3,14,140,409,https://www.google.com/maps/place/?q=place_id:ChIJfQCQsN8VrjsRTmw40xo6hAY,0.039119804,4106,190,4296
Parking Lot,ChIJawylbtMXrjsRhw43wAmhlQw,13.0129735,77.5687129,6,17,5,3,6,193,447,https://www.google.com/maps/place/?q=place_id:ChIJawylbtMXrjsRhw43wAmhlQw,0.03803132,4487,145,4632
Corporation Car Park,ChIJ3UFDSuYVrjsRK7wEKppOxc8,12.9567991,77.5817565,6,14,5,3,10,50,447,https://www.google.com/maps/place/?q=place_id:ChIJ3UFDSuYVrjsRK7wEKppOxc8,0.031319911,4484,165,4649
Garage,ChIJrQU6a3cfrjsRoVupNWo6ZI8,13.152742,77.613886,0,0,1,0,0,166,435,https://www.google.com/maps/place/?q=place_id:ChIJrQU6a3cfrjsRoVupNWo6ZI8,0,4350,5,4355
Parking,ChIJOyTVQH4WrjsRdMoqz4k0xws,12.9716974,77.6062713,5,15,5,2,12,40,447,https://www.google.com/maps/place/?q=place_id:ChIJOyTVQH4WrjsRdMoqz4k0xws,0.033557047,4485,155,4640
SMH Parking,ChIJtyXap3cXrjsRDZBTa31C6Oo,12.9693373,77.5861354,5,17,8,3,14,138,463,https://www.google.com/maps/place/?q=place_id:ChIJtyXap3cXrjsRDZBTa31C6Oo,0.036717063,4647,190,4837
