Name,ID,Vicinity,latitude,longitude,Rating,Url
Vega City Mall Food Court,ChIJ-xKR7TgVrjsRI0viMM0nGUI,"WJ52+3FJ, Vega city,food court, Bannerghatta Main Rd, BTM Layout, Bengaluru",12.9077144,77.6011375,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ-xKR7TgVrjsRI0viMM0nGUI
Orion Mall Food Court,ChIJAV62v3g9rjsRT7TFt6zi4Uk,"2H63+MXJ, Rajajinagar, Bengaluru",13.0117011,77.5548982,4.2,https://www.google.com/maps/place/?q=place_id:ChIJAV62v3g9rjsRT7TFt6zi4Uk
Brookefield mall foodcourt,ChIJddfIyJgTrjsRqvqhJOrQ4Hw,"24, ITPL Main Rd, AECS Layout, Marathahalli, Bengaluru",12.9660098,77.7179269,3.8,https://www.google.com/maps/place/?q=place_id:ChIJddfIyJgTrjsRqvqhJOrQ4Hw
By The Way Foodcourt,ChIJlZbc8pxsrjsReIPVE6jx_s8,"Ground Floor, Skyward TechPark, Velankani Drive, Electronics City Phase 1, Bengaluru",12.8481297,77.6576546,4,https://www.google.com/maps/place/?q=place_id:ChIJlZbc8pxsrjsReIPVE6jx_s8
Bagmane Tech Park Food Court,ChIJM4N1OFIRrjsRd4VkGHll9wA,"XMH5+R53, Krishnappa Garden, C V Raman Nagar, Bengaluru",12.9795154,77.6579104,4,https://www.google.com/maps/place/?q=place_id:ChIJM4N1OFIRrjsRd4VkGHll9wA
Forum Value Mall Food Court,ChIJ5XidcpcNrjsRZbI0rrKZnM4,"XP5X+R3G, Prestige Ozone, Whitefield, Bengaluru",12.9595657,77.7477128,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ5XidcpcNrjsRZbI0rrKZnM4
Food Court,ChIJHU6XH08ZrjsRwQ-2fDlBHms,"3HVV+JXP, RMZ Galleria, Yelahanka, Bengaluru",13.0940886,77.5949476,4,https://www.google.com/maps/place/?q=place_id:ChIJHU6XH08ZrjsRwQ-2fDlBHms
Food Court,ChIJpxGzCEcVrjsRHeY2hyRzJnE,"WJ8Q+F6P, Service Rd, Teacher's Colony, 1st Sector, Koramangala, Bengaluru",12.9161982,77.6380857,3,https://www.google.com/maps/place/?q=place_id:ChIJpxGzCEcVrjsRHeY2hyRzJnE
The Food Plaza,ChIJzXgoKvIVrjsRyYorvWE76c8,"VJXM+9FX, Service Rd, Hongasandra, Bengaluru",12.8984824,77.6337339,3.9,https://www.google.com/maps/place/?q=place_id:ChIJzXgoKvIVrjsRyYorvWE76c8
Food Court,ChIJQWduNQkVrjsR9YB7OMtU1jM,"45/2, Marenahalli Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru",12.9164125,77.5921916,3.8,https://www.google.com/maps/place/?q=place_id:ChIJQWduNQkVrjsR9YB7OMtU1jM
