Name,ID,Vicinity,latitude,longitude,Rating,Url
Latha Prasad Fuel Station,ChIJz_-PthY_rjsRAhynqYB0Oog,"#15, Mysore Rd, opp. BWSSB Cvotros, ITI Layout 3rd Phase, Dr.Ambedkar Nagar, Nayanda Halli, Bengaluru",12.9384348,77.5216242,3.5,https://www.google.com/maps/place/?q=place_id:ChIJz_-PthY_rjsRAhynqYB0Oog
Total Gas Pump,ChIJHzM6J1YVrjsRTOz53QczYic,"WJF3+C2C, 1st Main Rd, New Gurappana Palya, 1st Stage, BTM Layout, Bengaluru",12.9235688,77.6025296,3.2,https://www.google.com/maps/place/?q=place_id:ChIJHzM6J1YVrjsRTOz53QczYic
Nayara Energy Fuel Station,ChIJzVbrlq0RrjsRrdC2C8b6LL4,"37/2, Basavanapura Main Rd, adjsent sbi batterly, Basavanapura, Krishnarajapura, Bengaluru",13.0142589,77.7097773,3.7,https://www.google.com/maps/place/?q=place_id:ChIJzVbrlq0RrjsRrdC2C8b6LL4
Total Gas Station,ChIJwd4kALY9rjsRYjK4LOvzx9w,"2, Magadi Main Rd, Govindaraja Nagar Ward, Kullegowda Industrial Estate, Kamakshipalya, Bengaluru",12.986323,77.5220147,3.5,https://www.google.com/maps/place/?q=place_id:ChIJwd4kALY9rjsRYjK4LOvzx9w
V R Filling Station,ChIJQZlgJ2M_rjsRQVOfK0ZYrtc,"WF5P+FWP, Kengeri, Bengaluru",12.9087243,77.4873264,4.2,https://www.google.com/maps/place/?q=place_id:ChIJQZlgJ2M_rjsRQVOfK0ZYrtc
SUDARSHAN FUEL STATION,ChIJ70cGDO9trjsRn9R88WKCQ9E,"1st Phase, Konappana Agrahara, Electronic City, Bengaluru",12.8557634,77.6633178,4.2,https://www.google.com/maps/place/?q=place_id:ChIJ70cGDO9trjsRn9R88WKCQ9E
GOWRISHANKAR FUEL STATION,ChIJBTsj4DoRrjsRcn1uxUlXiIk,"Horamavu Agara Main Rd, Horamavu, Bengaluru",13.0323722,77.6599652,4.6,https://www.google.com/maps/place/?q=place_id:ChIJBTsj4DoRrjsRcn1uxUlXiIk
RR FUEL STATION,ChIJXzORwlE_rjsRVcLot3i6LFQ,"#458, Kenchenahalli, Ideal Homes Twp, RR Nagar, Bengaluru",12.9324889,77.5161326,4.3,https://www.google.com/maps/place/?q=place_id:ChIJXzORwlE_rjsRVcLot3i6LFQ
SRI RANGA FILLING STATION,ChIJgZ_aaXs9rjsRG_lM8CbqKKk,"Municipal New No.17, Old No.161 &162, 12th Cross Rd, Mahalakshmi Layout, Bengaluru",13.0079882,77.5460463,4,https://www.google.com/maps/place/?q=place_id:ChIJgZ_aaXs9rjsRG_lM8CbqKKk
SUPERGAS Auto LPG Station - Sapthagiri Enterprises,ChIJq3NPE1YUrjsRRc7yY3L8wFc,"2/26, BEML Main Rd, Maruthi Nagar, 1st Stage, Madiwala, Bengaluru",12.9242855,77.6145204,4,https://www.google.com/maps/place/?q=place_id:ChIJq3NPE1YUrjsRRc7yY3L8wFc
Omkara Fuel Station - Nayara Energy,ChIJV2CDUgI-rjsRgpZbFLSVy9k,"(Old site No.10),4th Main, Site No.14, 9th Cross Rd, Azad Nagar, Bengaluru",12.9575984,77.5591493,4.1,https://www.google.com/maps/place/?q=place_id:ChIJV2CDUgI-rjsRgpZbFLSVy9k
G K Filling Station,ChIJc5z6M4QerjsRxVWCjDrc0iM,"No 70, NH-44, Meenakunte, Village, Bengaluru",13.1891995,77.6453767,3.9,https://www.google.com/maps/place/?q=place_id:ChIJc5z6M4QerjsRxVWCjDrc0iM
Sapthagiri Service Station,ChIJ3aWbJ_kYrjsRXGW4DUJaYsU,"4J42+CCH, Bellary Rd, R T Nagar, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bengaluru",13.1060453,77.601109,3.6,https://www.google.com/maps/place/?q=place_id:ChIJ3aWbJ_kYrjsRXGW4DUJaYsU
Patel Fuel Station,ChIJzcVYxggVrjsRR3YBC0yXP7g,"105, opposite to rbi Layout, Guru Raghavendra Nagar, JP Nagar 7th Phase, J. P. Nagar, Bengaluru",12.8917417,77.5774291,4.5,https://www.google.com/maps/place/?q=place_id:ChIJzcVYxggVrjsRR3YBC0yXP7g
VN fuel Station (Bharath Petroleum),ChIJmf-6bmU_rjsRMyqY8BZmAko,"50, 1st cross, 5th Main Rd, 1st Block Koramangala, Pavamanapura, Bengaluru",12.877108,77.5185268,4.1,https://www.google.com/maps/place/?q=place_id:ChIJmf-6bmU_rjsRMyqY8BZmAko
Shell petrol pump,ChIJW4tDPkEVrjsR9psowcBuaMA,"49 Hosur Road Begurhobli, Situated at, Singasandra, Bengaluru",12.8834998,77.6428832,4.2,https://www.google.com/maps/place/?q=place_id:ChIJW4tDPkEVrjsR9psowcBuaMA
KRJ Fuel station,ChIJscHMdYIVrjsRTf2Z4COGXVc,"9th Main Road, Banashankari Stage II, Banashankari, Bengaluru",12.9209585,77.5694038,3.9,https://www.google.com/maps/place/?q=place_id:ChIJscHMdYIVrjsRTf2Z4COGXVc
Suraksha Fuel Station,ChIJLxnUw6cirjsR36Cyh2tXXkg,"GD Layout, Doddabommasandra, Vidyaranyapura, Bengaluru",13.069516,77.5629442,4.2,https://www.google.com/maps/place/?q=place_id:ChIJLxnUw6cirjsR36Cyh2tXXkg
Indian oil petroleum fuel station Gokul Fuels,ChIJ9T-xV4FrrjsRzlVtsJlCUXU,"Suraksha nagar, Yelenahalli, Akshayanagar, Bengaluru",12.8621086,77.614571,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ9T-xV4FrrjsRzlVtsJlCUXU
Indian Oil - NMH Gasoline Station,ChIJOSG4eDgjrjsRSFsAhj92NL0,"New Sy no 20/22, Old Sy no 20/3, Sidedahalli, Nagasandra, Post, Bengaluru",13.062588,77.4946837,3.9,https://www.google.com/maps/place/?q=place_id:ChIJOSG4eDgjrjsRSFsAhj92NL0
Ganga auto gas,ChIJjUUDQDE9rjsRiey7pFbfX5g,"2GX5+H5P, Maheswari Nagar, T. Dasarahalli, Bengaluru",13.0489603,77.50791,1,https://www.google.com/maps/place/?q=place_id:ChIJjUUDQDE9rjsRiey7pFbfX5g
Hindustan Petroleum Corporation Limited,ChIJLd7qKKA9rjsRZJndR1AvgPs,"Sy No 42, 8Th Cross Pattegarpalya Rd, Vijaynagar, Kanakanagar, Bengaluru",12.9764699,77.522162,4.1,https://www.google.com/maps/place/?q=place_id:ChIJLd7qKKA9rjsRZJndR1AvgPs
Shreekara Fuel Station Indian Oil petrol station,ChIJy5Gd8oE_rjsRne2lJhMl5l0,"BSK 6th Stage 100 Ft Road Ganigarapalya Thalaghattapura post, Vajarahalli, Main Road, Ganigarapalya, Adarsha Layout, Bengaluru",12.8755956,77.5345075,4.2,https://www.google.com/maps/place/?q=place_id:ChIJy5Gd8oE_rjsRne2lJhMl5l0
Indo Autogas & Fuel Station,ChIJrWcm6sk9rjsRXax9ngwJj4g,"16, Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Magadi Main Road, Kamakshipalya",12.985092,77.523238,3.8,https://www.google.com/maps/place/?q=place_id:ChIJrWcm6sk9rjsRXax9ngwJj4g
Nikhil Filling Station,ChIJ2ZQGRPUXrjsRGPKVF4vIG2Q,"22, Mahatma Gandhi Rd, Craig Park Layout, Ashok Nagar, Bengaluru",12.9736257,77.6138383,3.3,https://www.google.com/maps/place/?q=place_id:ChIJ2ZQGRPUXrjsRGPKVF4vIG2Q
Auto LPG Gas Station,ChIJCyj0BkgUrjsRVvVNOoY5LwE,"WJW9+3HX, Koramangala 8th Block, Koramangala, Bengaluru",12.945247,77.6189983,3.8,https://www.google.com/maps/place/?q=place_id:ChIJCyj0BkgUrjsRVvVNOoY5LwE
Vijayashree Filling Station,ChIJN2dwf8UirjsRgFXmb2RYEM8,"Kammagondana Halli Main Rd, Kammagondahalli, Jalahalli, Bengaluru",13.0661148,77.5303584,3.5,https://www.google.com/maps/place/?q=place_id:ChIJN2dwf8UirjsRgFXmb2RYEM8
Uday Fuel station,ChIJ_5i5bc5BrjsRJqVtedrS1-o,"Unnamed Road, Bengaluru",12.8269596,77.5593322,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ_5i5bc5BrjsRJqVtedrS1-o
JRB Fuel Junction,ChIJ6SEPcblrrjsRoL0XJyIu3Wk,"Jambusavari Dinne Main Rd, opp. Royal County Park, 8th Phase, Gottigere, Bengaluru",12.8616705,77.5804106,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ6SEPcblrrjsRoL0XJyIu3Wk
Sri Annapoorneshwari Fuel Station,ChIJn3zZJTcZrjsRetsSDLZezkY,"Akshaya Nagar, Attur Layout, Yelahanka New Town, Bengaluru",13.0977477,77.5637522,4.1,https://www.google.com/maps/place/?q=place_id:ChIJn3zZJTcZrjsRetsSDLZezkY
Vikhyaath Filling Station,ChIJIXuRsyoRrjsRGqFq__v6iQo,"3/4, Whitefield Main Rd, Thigalarapalya, Mahadevapura, Bengaluru",12.9907483,77.7220513,3.4,https://www.google.com/maps/place/?q=place_id:ChIJIXuRsyoRrjsRGqFq__v6iQo
Hindustan Petroleum Corporation Limited - Sompura Service Station,ChIJAWSDisByrjsRdgEDp9W1--A,"SH 35, Bangalore road, Kada Agrahara, Sarjapura, Bengaluru",12.8646158,77.7701949,4.2,https://www.google.com/maps/place/?q=place_id:ChIJAWSDisByrjsRdgEDp9W1--A
Uddi gas pump,ChIJPUr4a0YRrjsRfutdWqkG8zc,"40/C, ITPL Main Rd, KEB Colony, Industrial Area, Hoodi, Bengaluru",12.9924896,77.7126209,0,https://www.google.com/maps/place/?q=place_id:ChIJPUr4a0YRrjsRfutdWqkG8zc
IOC AUTO GAS & DIESEL STATION,ChIJse-ZH68XrjsRW59LlNdynw0,"2JC2+G6F, Adi Kabir Ashram Main Rd, Ganesha Block, Bangaragiri Layout, Devara Jeevanahalli, Bengaluru",13.0213098,77.6005541,4,https://www.google.com/maps/place/?q=place_id:ChIJse-ZH68XrjsRW59LlNdynw0
BPCL - Manjunatha Fuel station,ChIJZbuZN7A9rjsROlapCiBhvWs,"2/2, Ragavendra Nagar, Bengaluru",13.0095328,77.4830283,3.9,https://www.google.com/maps/place/?q=place_id:ChIJZbuZN7A9rjsROlapCiBhvWs
Panchamukhi Nayara Fuel Station,ChIJVblKdy8-rjsR5Vxh_xKi4nw,"WHJ3+5HJ, ITI Layout, Vivekananda Nagar, Banashankari, Bengaluru",12.9304696,77.5538701,4,https://www.google.com/maps/place/?q=place_id:ChIJVblKdy8-rjsR5Vxh_xKi4nw
Shree Shankar Fuel Station ( NAYARA ),ChIJv1FkGEB7rjsRKW9Tk-VfhOM,"MQX4+7CW, SH 87, Bengaluru",12.698218,77.7560783,4.5,https://www.google.com/maps/place/?q=place_id:ChIJv1FkGEB7rjsRKW9Tk-VfhOM
"s.v.m fuel station , petrol bunk",ChIJt6I3BLMTrjsRfLrebdMRqKY,"27, Marthahalli outer ring road, Kadubeesanahalli, Varthur Hobli, Prestige Tech Park, Bengaluru",12.9410958,77.6958901,4.2,https://www.google.com/maps/place/?q=place_id:ChIJt6I3BLMTrjsRfLrebdMRqKY
Hindustan Petroleum Corporation Limited,ChIJn5bWkswTrjsRFu5joyayCSQ,"No 45, 2, Varthur Rd, Marathahalli Village, Marathahalli, Bengaluru",12.95649,77.6975,3.8,https://www.google.com/maps/place/?q=place_id:ChIJn5bWkswTrjsRFu5joyayCSQ
