Name,ID,Vicinity,latitude,longitude,Rating,Url
BBMP Parking Space,ChIJ_ai2SuYVrjsRYEPrdzFxh7E,"14/21, Siddaiah Rd, Vinobha Nagar, Sudhama Nagar, Bengaluru",12.9568355,77.5817825,3.1,https://www.google.com/maps/place/?q=place_id:ChIJ_ai2SuYVrjsRYEPrdzFxh7E
Shanti Nagar parking,ChIJWaLM37AVrjsRivlbh9NwR0o,"BLOCK-A, Double Rd, Next Big Bazar, NGO Colony, Shanti Nagar, Bengaluru",12.9540534,77.5919008,4,https://www.google.com/maps/place/?q=place_id:ChIJWaLM37AVrjsRivlbh9NwR0o
BDA Complex Parking,ChIJ7VYXtlsUrjsRXghoSce9Cfw,"WJJF+52F, 6th Cross Rd, Koramangala 3 Block, Koramangala, Bengaluru",12.9304421,77.6225366,3.6,https://www.google.com/maps/place/?q=place_id:ChIJ7VYXtlsUrjsRXghoSce9Cfw
HAL parking lot,ChIJuccM0rMWrjsRhgG0RP5Cn0c,"XJMX+MC9, Suranjan Das Rd, Binna Mangala, New Tippasandra, Bengaluru",12.9841697,77.6486061,3.6,https://www.google.com/maps/place/?q=place_id:ChIJuccM0rMWrjsRhgG0RP5Cn0c
Unity Building Parking Lot,ChIJfQCQsN8VrjsRTmw40xo6hAY,"XH7P+VP7, Sampangi Rama Nagar, Bengaluru",12.964654,77.586791,4.3,https://www.google.com/maps/place/?q=place_id:ChIJfQCQsN8VrjsRTmw40xo6hAY
Parking Lot,ChIJawylbtMXrjsRhw43wAmhlQw,"239/A, CV Raman Rd, Kodandarampura, Armane Nagar, Bengaluru",13.0129735,77.5687129,0,https://www.google.com/maps/place/?q=place_id:ChIJawylbtMXrjsRhw43wAmhlQw
Corporation Car Park,ChIJ3UFDSuYVrjsRK7wEKppOxc8,"XH4J+PP6, Doddamavalli, Sudhama Nagar, Bengaluru",12.9567991,77.5817565,3.2,https://www.google.com/maps/place/?q=place_id:ChIJ3UFDSuYVrjsRK7wEKppOxc8
Garage,ChIJrQU6a3cfrjsRoVupNWo6ZI8,"5J37+3HR, Bengaluru",13.152742,77.613886,0,https://www.google.com/maps/place/?q=place_id:ChIJrQU6a3cfrjsRoVupNWo6ZI8
Parking,ChIJOyTVQH4WrjsRdMoqz4k0xws,"28, Field Marshal Cariappa Rd, Shanthala Nagar, Sampangi Rama Nagar, Bengaluru",12.9716974,77.6062713,3.5,https://www.google.com/maps/place/?q=place_id:ChIJOyTVQH4WrjsRdMoqz4k0xws
SMH Parking,ChIJtyXap3cXrjsRDZBTa31C6Oo,"XH9P+V7, Ambedkar Veedhi, Bengaluru",12.9693373,77.5861354,0,https://www.google.com/maps/place/?q=place_id:ChIJtyXap3cXrjsRDZBTa31C6Oo
Safina Plaza Parking,ChIJwTgsrmIWrjsRxjIzJgPwVow,"XJH4+RRX, Main Guard Cross Rd, Tasker Town, Shivaji Nagar, Bengaluru",12.9796091,77.6071,3.5,https://www.google.com/maps/place/?q=place_id:ChIJwTgsrmIWrjsRxjIzJgPwVow
