Name,ID,Vicinity,latitude,longitude,Rating,Url
Brookefield Mall,ChIJZxGsbDMSrjsRbBCEz3c7lSM,"Sy No.111 &123, 2, ITPL Main Rd, Brookefield, Bengaluru",12.9660074,77.7181261,3.9,https://www.google.com/maps/place/?q=place_id:ChIJZxGsbDMSrjsRbBCEz3c7lSM
Esteem Mall,ChIJvbUh-Y4XrjsREsDI5shBa0A,"Byataranyanapura, 104/6, Kempapura Main Rd, Chiranjeevi Layout, Hebbal, Bengaluru",13.049016,77.5935633,3.8,https://www.google.com/maps/place/?q=place_id:ChIJvbUh-Y4XrjsREsDI5shBa0A
Market Square Mall,ChIJ_Tef7PcUrjsRfMotlTVNUPU,"BBMP Commericial Plaza, Hosur Rd, Madiwala, Bengaluru",12.9219671,77.6202518,4,https://www.google.com/maps/place/?q=place_id:ChIJ_Tef7PcUrjsRfMotlTVNUPU
Phoenix Marketcity,ChIJS76jBAsRrjsRQ5Yuqy0l-88,"Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru",12.9958017,77.6963968,4.5,https://www.google.com/maps/place/?q=place_id:ChIJS76jBAsRrjsRQ5Yuqy0l-88
Elements Mall,ChIJxTyv4WgXrjsRiqVsTY7LFBk,"Survey No. 132(P), 133(P), & 134(P), of Nagavara Village 100’ wide, Thanisandra Main Rd, Kasaba Hobli, Bengaluru",13.0450957,77.6268964,4.1,https://www.google.com/maps/place/?q=place_id:ChIJxTyv4WgXrjsRiqVsTY7LFBk
Ascendas Park Square Mall,ChIJbSiIHOURrjsRS4xhSOGjROw,"Park square Mall , ITPB main road , international tech park, Whitefield Main Rd, Bengaluru",12.9869757,77.7363332,4.1,https://www.google.com/maps/place/?q=place_id:ChIJbSiIHOURrjsRS4xhSOGjROw
Orion Avenue,ChIJjZVmwsIWrjsRkAzeMscdX_Y,"Banaswadi, 10/34, Dodda Banaswadi Main Rd, Jaibharath Nagar, Sathya Nagar, Maruthi Sevanagar, Bengaluru",13.0009569,77.6325712,4.2,https://www.google.com/maps/place/?q=place_id:ChIJjZVmwsIWrjsRkAzeMscdX_Y
Gopalan Innovation Mall,ChIJT67kUwQVrjsRSIJLVE-ff1I,"22, Bannerghatta Main Rd, Sarakki Industrial Layout, 3rd Phase, J. P. Nagar, Bengaluru",12.9144032,77.5995815,4,https://www.google.com/maps/place/?q=place_id:ChIJT67kUwQVrjsRSIJLVE-ff1I
Virginia Mall,ChIJE-ItAAoSrjsRkxeoLP1E1jc,"Whitefield Main Rd, Palm Meadows, Whitefield, Bengaluru",12.9575403,77.7451366,3.6,https://www.google.com/maps/place/?q=place_id:ChIJE-ItAAoSrjsRkxeoLP1E1jc
Market Square Mall Sarjapur Road,ChIJVTdRLnITrjsRzNqE1cHzA4Y,"Sarjapur - Marathahalli Rd, Ambalipura, Haralur",12.9166593,77.6713292,4,https://www.google.com/maps/place/?q=place_id:ChIJVTdRLnITrjsRzNqE1cHzA4Y
Sampoorna Shopping Center,ChIJk7nUWuAXrjsRy_HXfFJjNE0,"16, 5th Cross Rd, Dollar Layout, Stage 2, BTM Layout, Bengaluru",12.9065361,77.603314,0,https://www.google.com/maps/place/?q=place_id:ChIJk7nUWuAXrjsRy_HXfFJjNE0
LML MALL Shopping Mall,ChIJlU0KAgEXrjsR4fhbJpk3RPU,"2J8Q+949, St Thomas Town, Inasappa Layout, Kammanahalli, Bengaluru",13.0159224,77.6378681,1,https://www.google.com/maps/place/?q=place_id:ChIJlU0KAgEXrjsR4fhbJpk3RPU
Nexus Mall Koramangala,ChIJuzGXhU0UrjsRCRsq7sQj5Xs,"The Nexus Mall, Hosur Rd, Chikku Lakshmaiah Layout, Koramangala, Bengaluru",12.9344398,77.6112678,4.3,https://www.google.com/maps/place/?q=place_id:ChIJuzGXhU0UrjsRCRsq7sQj5Xs
Nexus Whitefield (The Forum Neighbourhood Mall),ChIJCwQ1WPYNrjsR79v0Hb12g1U,"No.62, Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru",12.9596271,77.7479488,4.2,https://www.google.com/maps/place/?q=place_id:ChIJCwQ1WPYNrjsR79v0Hb12g1U
Market place Vijayanagar,ChIJN5zggEM9rjsRl8UJvQVhlPA,"XG8R+Q2P, Hosahalli Extension, Vijayanagar, Bengaluru",12.9669731,77.5400346,4.5,https://www.google.com/maps/place/?q=place_id:ChIJN5zggEM9rjsRl8UJvQVhlPA
Total Mall,ChIJq6pq6_cUrjsR6oXj0Mav7Bw,"WJCC+Q57, Madiwala Rd, Sidharata Colony, Madiwala, Koramangala 2nd Block, Koramangala, Bengaluru",12.9219084,77.6204084,3.9,https://www.google.com/maps/place/?q=place_id:ChIJq6pq6_cUrjsR6oXj0Mav7Bw
Central,ChIJ5x1GX3UTrjsR4aq-6zlo958,"Soul Space Spirit Bellandur Village Varthur, Hubli, Bengaluru",12.9388961,77.7412074,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ5x1GX3UTrjsR4aq-6zlo958
The Galleria Mall,ChIJ_-8q2gIZrjsR6r6ytflmnAc,"Police Station, SH 9, opposite Yelahanka, Ambedkar Colony, Bengaluru",13.0942361,77.5949472,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ_-8q2gIZrjsR6r6ytflmnAc
Yelahanka New Town Shopping Complex,ChIJgxn0HmEYrjsRBehGEZRncF8,"3HXJ+8PM, Yelahanka Satellite Town, Yelahanka, Bengaluru",13.0983706,77.581857,4,https://www.google.com/maps/place/?q=place_id:ChIJgxn0HmEYrjsRBehGEZRncF8
Sri Rampuram Shopping Complex,ChIJv6sKKgUWrjsRkf-VV6rsQng,"XHGC+R6F, Gubbi Thotadappa Rd, Kempegowda, Majestic, Bengaluru",12.9771132,77.5704966,3.7,https://www.google.com/maps/place/?q=place_id:ChIJv6sKKgUWrjsRkf-VV6rsQng
Plazzo Retail Mall,ChIJmecGuokWrjsR4xQLMkrM4-0,"#63, Ibrahim Sahib Street COMMERCIAL STREET, Shivaji Nagar, Near Westside - New Commercial Street, Bangalore, Koskii, Bengaluru",12.9826516,77.6095684,3.9,https://www.google.com/maps/place/?q=place_id:ChIJmecGuokWrjsR4xQLMkrM4-0
Nexus Shantiniketan Mall,ChIJcToFoO4RrjsRiNp1K-jl9oE,"Whitefield Main Rd, Thigalarapalya, Krishnarajapura, Bengaluru",12.989536,77.7281015,4.4,https://www.google.com/maps/place/?q=place_id:ChIJcToFoO4RrjsRiNp1K-jl9oE
"Times Square, Marathahalli",ChIJnfp__CsTrjsReriYyyWXjCo,"XP42+QCG, NH 44, Subbaiah Reddy Colony, Aswath Nagar, Marathahalli, Bengaluru",12.9569465,77.7010732,3,https://www.google.com/maps/place/?q=place_id:ChIJnfp__CsTrjsReriYyyWXjCo
