sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
174,154,06,1335.18,662.53,1197.61,1.6
177,124,06,3239.63,1407.84,2927.38,1.59
170,194,06,2692.92,1489.95,2352.44,1.67
179,104,06,4203.47,1106.65,4035.93,1.35
82,15,06,1367.21,777.34,1206.37,1.63
38,50,06,1632.29,900.24,1476.93,1.52
39,40,06,523.6,580.58,354.93,2.6
80,35,06,4174.64,1614.94,3885.46,1.47
34,90,06,4426.34,1510.09,4169.08,1.43
81,25,06,3436.62,1287.92,3208.59,1.46
129,91,04,2141.54,794.73,1987.09,1.49
35,80,06,4403.53,1870.95,4008.9,1.58
196,123,04,3550.36,1096.66,3395.64,1.35
190,183,04,1292.16,482.84,1215.29,1.41
195,133,04,3804.91,1022.07,3659.79,1.33
191,173,04,1040.54,400.14,968.4,1.47
194,143,04,1686.18,509.67,1607.97,1.37
193,153,04,1037.0,410.98,967.52,1.46
198,103,04,2397.35,664.36,2318.79,1.28
197,113,04,4117.1,1508.38,3815.75,1.51
192,163,04,1626.2,477.78,1562.62,1.32
105,82,04,1377.75,537.52,1281.45,1.46
109,42,04,448.64,247.32,396.69,1.66
108,52,04,1764.67,527.7,1687.57,1.35
108,177,04,3301.46,948.42,3169.52,1.33
106,197,04,3528.69,1077.5,3364.96,1.37
109,167,04,4276.33,1095.9,4141.63,1.29
8,126,05,3228.92,1209.38,3021.85,1.44
5,156,05,2545.19,872.95,2401.72,1.41
17,36,05,2281.81,835.68,2158.74,1.38
4,166,05,1759.55,884.6,1599.98,1.53
141,106,05,1333.05,442.42,1276.77,1.33
140,116,05,2330.2,739.97,2228.07,1.34
6,146,05,4299.32,1478.66,4047.58,1.42
124,4,05,3013.23,1068.7,2833.28,1.42
40,111,05,1103.14,487.99,1014.06,1.5
41,101,05,900.67,401.06,823.26,1.54
109,94,05,2139.19,784.88,1997.72,1.46
1,196,05,1745.81,535.75,1675.65,1.32
16,46,05,569.62,441.65,455.07,1.97
181,99,06,3182.5,1036.79,3016.57,1.41
186,49,06,2118.12,1045.82,1906.64,1.58
12,86,05,2599.57,691.04,2503.74,1.35
184,69,06,4852.66,1494.97,4635.49,1.36
182,89,06,2845.62,1210.35,2583.79,1.58
2,186,05,625.88,431.57,497.97,2.06
15,40,04,1440.61,607.71,1332.74,1.48
7,120,04,3974.19,1278.1,3752.81,1.42
10,90,04,911.57,417.74,823.37,1.59
7,136,05,3563.41,1247.43,3354.19,1.42
8,110,04,3860.55,1117.65,3710.34,1.32
17,131,05,3345.9,976.0,3209.26,1.34
14,161,05,3962.36,1211.32,3776.72,1.37
17,20,04,2462.63,868.04,2340.74,1.36
15,151,05,3100.9,1146.69,2886.12,1.47
188,29,06,450.81,463.38,302.41,2.75
13,171,05,3481.67,1349.37,3240.69,1.46
18,10,04,4662.25,980.02,4547.28,1.26
11,191,05,3050.3,853.84,2941.76,1.31
14,50,04,1694.8,667.87,1585.53,1.43
19,111,05,1755.34,534.98,1680.46,1.34
11,96,05,2585.75,752.37,2482.13,1.33
2,170,04,3604.01,913.13,3491.94,1.29
18,121,05,1676.62,718.94,1596.05,1.33
187,39,06,3968.24,1555.86,3685.49,1.48
16,141,05,3399.08,900.82,3281.53,1.31
3,176,05,4473.23,1483.17,4256.29,1.37
189,19,06,3617.96,1614.14,3322.73,1.5
12,181,05,3950.8,918.62,3844.96,1.27
13,60,04,2077.11,481.25,2017.06,1.28
18,26,05,2046.01,759.08,1945.07,1.36
184,164,06,1271.45,494.31,1197.43,1.41
188,124,06,1030.65,578.18,927.07,1.56
11,80,04,2681.15,780.46,2579.59,1.32
139,194,05,1114.19,579.68,997.37,1.59
187,134,06,3469.42,1247.75,3236.74,1.47
182,184,06,1325.92,739.63,1172.33,1.64
183,79,06,4267.89,1512.41,3979.75,1.48
15,56,05,478.51,372.19,356.24,2.31
9,100,04,3268.72,1052.06,3102.27,1.39
185,154,06,2893.55,1082.17,2714.16,1.44
65,16,06,1701.61,860.62,1530.29,1.58
60,66,06,958.73,632.92,813.89,1.8
61,56,06,241.13,306.52,164.33,2.61
186,144,06,3739.44,1510.87,3467.15,1.47
64,26,06,2612.86,1425.07,2321.87,1.62
16,30,04,1105.7,517.93,1022.47,1.45
14,66,05,1738.87,541.47,1662.56,1.35
123,69,05,3310.99,1282.98,3087.67,1.46
121,89,05,1797.32,616.99,1700.22,1.4
159,189,05,679.23,336.4,618.63,1.52
124,59,05,2004.81,629.93,1911.91,1.36
124,96,06,1116.39,662.26,987.1,1.62
128,19,05,1281.34,421.03,1221.11,1.36
189,114,06,3147.65,1036.95,2991.53,1.38
62,46,06,1724.78,570.67,1630.7,1.41
126,39,05,978.03,375.01,927.13,1.36
126,76,06,3237.49,1328.03,2982.31,1.51
122,79,05,2702.97,818.91,2576.85,1.37
183,174,06,1216.49,550.0,1109.17,1.56
31,2,04,1408.0,473.59,1347.77,1.32
17,82,04,2447.35,684.38,2354.06,1.32
125,86,06,1963.71,941.82,1779.38,1.56
9,162,04,3505.51,1183.04,3315.69,1.4
8,172,04,2520.67,916.4,2377.07,1.4
109,24,04,1301.27,466.24,1228.29,1.4
106,54,04,1750.93,576.48,1660.23,1.39
125,49,05,1800.82,534.08,1723.64,1.35
176,91,04,1405.22,640.04,1271.34,1.57
178,71,04,3378.74,1028.56,3236.58,1.34
6,192,04,5095.49,1932.76,4735.62,1.47
177,81,04,2124.01,737.55,1995.99,1.43
102,94,04,1566.06,596.08,1457.99,1.47
127,29,05,1288.24,787.13,1172.86,1.47
179,61,04,4296.59,1381.14,4070.93,1.4
148,27,04,2034.84,729.53,1936.72,1.35
141,97,04,898.29,342.18,845.94,1.4
104,74,04,2791.51,678.79,2708.36,1.28
147,37,04,1442.42,520.07,1363.37,1.39
143,77,04,3174.57,888.49,3048.76,1.34
120,99,05,1318.75,477.03,1245.74,1.4
7,182,04,2772.08,1121.78,2593.54,1.42
146,47,04,2656.89,826.28,2537.09,1.36
181,194,06,1681.44,780.55,1527.6,1.56
13,76,05,1589.67,584.59,1514.01,1.34
4,70,05,870.92,425.52,792.27,1.52
8,30,05,2445.24,684.38,2367.49,1.28
105,64,04,2271.54,618.76,2195.48,1.29
7,40,05,3022.58,985.34,2875.16,1.37
5,140,04,3685.3,983.24,3557.57,1.31
2,90,05,3711.51,898.85,3601.9,1.28
149,17,04,3827.37,1168.11,3655.86,1.36
129,46,06,2346.1,865.97,2209.32,1.41
6,50,05,3722.24,1181.19,3550.63,1.36
16,92,04,2637.11,852.46,2506.73,1.38
161,45,05,2736.27,1142.97,2496.7,1.55
164,15,05,2769.28,1065.1,2567.51,1.49
34,86,05,2897.89,737.93,2801.74,1.31
160,55,05,2789.75,1291.96,2505.63,1.6
19,16,05,3160.28,810.26,3062.46,1.28
163,25,05,3122.15,978.43,2954.48,1.41
127,66,06,2144.86,662.32,2050.01,1.35
3,160,04,3963.69,1329.87,3731.77,1.43
188,23,04,442.58,348.68,338.23,2.16
189,13,04,2993.58,1199.58,2762.48,1.5
198,191,05,1669.73,537.93,1598.46,1.33
38,46,05,1964.15,533.78,1900.91,1.29
162,35,05,3411.87,1029.78,3275.83,1.33
103,84,04,1959.02,548.83,1886.25,1.32
186,43,04,2403.45,1023.16,2242.73,1.43
3,80,05,3146.33,1015.75,3019.26,1.32
25,12,06,1238.45,635.92,1136.31,1.48
21,52,06,3237.16,1454.34,3001.15,1.45
4,150,04,3602.66,1042.77,3453.26,1.34
39,36,05,748.43,424.23,684.88,1.48
181,93,04,2313.98,517.62,2252.83,1.27
9,20,05,3809.23,1089.87,3663.16,1.32
23,32,06,2441.8,1177.04,2240.02,1.49
180,152,05,765.61,295.05,717.37,1.45
181,142,05,1268.2,629.45,1180.76,1.43
108,34,04,1769.79,610.14,1665.49,1.43
185,102,05,3169.22,912.35,3054.35,1.31
33,96,05,2811.79,897.03,2669.78,1.39
182,132,05,3043.99,935.65,2902.55,1.37
29,182,04,2591.03,979.46,2445.32,1.38
28,192,04,2310.34,638.32,2227.88,1.31
183,122,05,2070.2,924.69,1905.3,1.48
184,112,05,3650.21,1094.33,3499.13,1.34
182,83,04,3851.66,1106.15,3671.96,1.38
35,76,05,3167.27,581.3,3113.52,1.2
24,22,06,317.32,309.93,228.0,2.43
128,56,06,2470.36,1182.88,2250.23,1.53
93,131,05,1393.97,648.25,1265.91,1.55
94,121,05,1701.78,642.26,1593.57,1.44
90,161,05,1934.72,808.54,1773.37,1.53
107,44,04,1122.29,435.77,1056.49,1.39
96,101,05,512.67,288.34,449.47,1.69
22,42,06,1646.4,946.77,1467.97,1.58
164,41,06,2920.18,819.68,2820.52,1.3
91,151,05,2359.55,955.58,2169.07,1.52
160,81,06,1891.69,832.13,1710.43,1.59
190,93,06,1598.23,760.79,1452.3,1.54
95,111,05,2582.46,1048.15,2385.27,1.49
196,33,06,2495.91,1202.82,2286.65,1.49
163,51,06,2736.1,790.46,2632.06,1.32
92,141,05,2135.62,751.89,2034.06,1.35
198,13,06,4616.39,1603.73,4366.66,1.39
162,61,06,3456.59,1237.25,3241.06,1.44
161,66,04,2624.36,899.62,2466.15,1.44
160,76,04,2256.73,821.72,2120.15,1.42
80,19,04,3475.44,1112.75,3301.94,1.38
166,16,04,2756.86,1046.24,2581.06,1.43
165,26,04,4169.38,1216.6,3997.35,1.34
162,56,04,3369.9,937.07,3224.81,1.36
163,22,06,4128.43,1510.49,3873.67,1.43
160,52,06,3975.99,1548.84,3678.89,1.5
163,46,04,3359.96,960.3,3207.31,1.38
161,42,06,3705.15,1273.11,3466.21,1.46
75,141,04,2651.25,1051.97,2435.46,1.53
76,131,04,2488.3,866.32,2336.65,1.44
162,32,06,4560.37,2072.47,4181.5,1.5
70,191,04,3675.15,872.61,3556.35,1.31
120,108,06,634.23,434.41,549.77,1.67
79,101,04,1920.95,669.7,1809.33,1.42
164,12,06,4211.11,1404.44,3995.72,1.38
161,71,06,3606.55,1315.58,3379.35,1.44
74,151,04,3094.7,792.1,2987.67,1.31
197,23,06,3993.3,1811.74,3607.89,1.58
73,161,04,2717.94,788.3,2604.51,1.34
159,162,04,693.55,302.4,638.49,1.5
156,192,04,2739.39,851.03,2607.03,1.38
158,172,04,840.25,560.55,692.07,1.88
72,171,04,3614.47,1119.98,3449.43,1.36
104,16,04,2216.4,681.83,2120.86,1.35
103,26,04,1047.94,410.87,978.28,1.44
157,182,04,1146.12,622.11,1026.88,1.57
101,46,04,1438.1,564.65,1334.52,1.48
71,181,04,3931.91,969.3,3792.55,1.33
167,11,06,2934.5,1090.69,2756.2,1.42
100,56,04,1634.73,598.74,1539.58,1.41
50,34,06,1112.02,672.22,981.26,1.63
51,24,06,1694.45,880.41,1546.39,1.51
193,41,06,3491.13,1015.54,3352.21,1.33
118,44,04,1165.47,426.61,1109.02,1.35
117,54,04,2333.87,790.71,2216.98,1.37
113,94,04,2174.7,703.14,2062.88,1.39
190,71,06,3446.37,1292.04,3215.44,1.46
114,84,04,2128.31,655.37,2027.78,1.38
52,14,06,1036.25,566.93,928.91,1.58
196,11,06,1178.03,593.81,1088.08,1.45
77,121,04,3617.46,1127.61,3430.86,1.4
115,74,04,2878.29,701.58,2792.25,1.28
181,114,06,2427.24,821.51,2299.07,1.4
102,36,04,2098.41,519.06,2036.8,1.28
180,124,06,1624.59,855.04,1444.72,1.64
78,111,04,3489.08,1065.73,3306.02,1.41
194,53,06,3698.76,1590.68,3356.89,1.57
182,104,06,3930.9,1345.96,3721.77,1.39
192,51,06,3564.79,897.9,3453.16,1.3
159,45,04,2743.28,991.24,2558.8,1.47
154,95,04,1595.83,554.44,1503.67,1.42
157,65,04,2601.12,1085.47,2413.71,1.47
80,118,04,2999.58,1383.41,2749.69,1.5
156,75,04,651.68,356.06,571.74,1.67
42,79,04,2827.43,812.55,2725.01,1.31
46,39,04,1441.7,504.29,1364.53,1.39
50,44,05,755.99,332.42,701.32,1.46
158,55,04,2292.94,999.88,2079.13,1.57
81,108,04,2971.24,1121.63,2765.05,1.47
53,14,05,810.08,434.36,722.26,1.59
44,59,04,1743.19,554.25,1663.67,1.35
155,85,04,1153.35,501.53,1057.28,1.52
52,24,05,337.36,270.28,271.61,1.88
47,29,04,1431.88,560.74,1346.41,1.4
135,9,06,3262.99,1269.24,3009.7,1.51
51,34,05,1631.21,607.2,1545.79,1.38
43,69,04,3063.71,800.14,2960.25,1.3
192,73,06,4284.86,1049.2,4128.86,1.34
194,31,06,4449.17,1677.91,4130.2,1.48
40,99,04,1168.27,445.61,1096.73,1.42
29,190,05,2900.31,784.89,2796.87,1.31
45,49,04,311.11,299.13,169.28,3.86
180,139,06,2667.67,753.95,2575.65,1.3
166,21,06,5070.28,2114.19,4645.89,1.53
41,89,04,2187.9,670.2,2086.97,1.37
48,19,04,3387.21,756.59,3302.29,1.25
181,129,06,2291.11,882.46,2164.26,1.39
140,14,06,3293.51,1169.43,3101.12,1.42
51,125,04,1709.54,591.86,1615.41,1.4
53,105,04,2014.4,648.81,1917.03,1.37
52,115,04,2417.76,736.41,2310.62,1.35
50,135,04,2257.94,739.32,2147.94,1.37
182,119,06,3999.96,1866.81,3610.7,1.58
48,2,06,1650.44,734.65,1535.62,1.44
183,109,06,3764.39,1021.51,3636.11,1.3
167,8,06,1156.33,731.14,971.51,1.82
113,9,06,3938.56,1427.26,3700.83,1.42
75,58,05,2474.49,969.34,2291.05,1.49
72,88,05,1444.18,578.74,1340.47,1.48
73,78,05,1493.82,562.13,1416.67,1.37
74,68,05,506.86,351.15,416.55,1.89
71,98,05,2797.18,1250.09,2596.42,1.45
105,109,04,220.01,162.69,177.58,2.03
103,129,04,1408.65,432.14,1351.57,1.33
100,159,04,2209.98,782.63,2070.29,1.45
104,119,04,808.28,345.65,747.84,1.47
67,113,06,2487.83,985.95,2301.39,1.49
62,163,06,2843.76,1015.92,2692.17,1.39
76,48,05,1960.74,770.79,1849.09,1.39
101,149,04,1647.93,578.48,1555.77,1.4
68,103,06,2811.66,1051.6,2641.54,1.42
175,90,04,2241.64,729.6,2121.53,1.41
176,80,04,2305.55,835.33,2158.2,1.45
64,143,06,2553.68,958.94,2389.25,1.45
177,70,04,3258.6,1010.36,3096.97,1.39
162,2,05,3951.16,1021.66,3826.02,1.29
179,50,04,4116.32,1092.45,3971.93,1.31
66,123,06,2216.22,928.73,2039.06,1.5
148,82,05,1670.71,601.52,1570.93,1.42
189,189,04,212.69,340.83,111.74,2.83
102,139,04,1530.99,627.89,1408.77,1.51
35,8,06,3760.59,1500.15,3507.64,1.45
65,133,06,1913.84,882.77,1757.13,1.49
79,18,05,3716.43,1070.29,3573.83,1.32
61,173,06,4352.31,1543.09,4083.18,1.45
78,28,05,3713.71,965.33,3569.55,1.35
25,175,04,3841.79,1221.28,3624.23,1.43
29,135,04,1777.83,599.5,1694.72,1.35
27,155,04,3502.78,1022.74,3369.39,1.32
28,145,04,1359.3,377.87,1314.82,1.29
26,165,04,3926.01,1188.86,3744.29,1.37
24,185,04,3547.89,894.04,3443.48,1.27
23,195,04,4431.06,1076.97,4308.71,1.27
77,195,05,1235.18,647.46,1105.33,1.59
79,175,05,2605.61,955.8,2441.65,1.44
78,185,05,4240.27,1171.79,4067.71,1.35
27,16,04,1380.17,531.32,1290.71,1.44
