Name,ID,Vicinity,latitude,longitude,Rating,Url
Bangalore University,ChIJLTqH_QwWrjsRJ3p0HFUb_Q4,"Palace Rd, P.K.Block, Gandhi Nagar, Bengaluru",12.9748016,77.5813642,3.8,https://www.google.com/maps/place/?q=place_id:ChIJLTqH_QwWrjsRJ3p0HFUb_Q4
Dayananda Sagar University,ChIJnd7aI7AUrjsREdc7MFUuJzU,"Hosur Rd, Kudlu Gate, Srinivasa Nagar, Hal Layout, Singasandra, Bengaluru",12.8874283,77.6419887,4,https://www.google.com/maps/place/?q=place_id:ChIJnd7aI7AUrjsREdc7MFUuJzU
Bengaluru University South Gate,ChIJD2yJN_Q-rjsRZGnTi8R2Grg,"WGP7+G26, Bangalore University Rd, ITI Layout 3rd Phase, Kenchenhalli, Gnana Bharathi, Bengaluru",12.9362869,77.5125102,3.4,https://www.google.com/maps/place/?q=place_id:ChIJD2yJN_Q-rjsRZGnTi8R2Grg
Jnanabharati Campus Bangalore University,ChIJXTLEXCQ_rjsRtvHuVTavXm4,"WGV3+HVR, Bangalore University Rd, Jnana Jyothi Nagar, Gnana Bharathi, Bengaluru",12.9439838,77.5046289,4.3,https://www.google.com/maps/place/?q=place_id:ChIJXTLEXCQ_rjsRtvHuVTavXm4
Dayananda Sagar University,ChIJl7y107EUrjsRG5HnWLrMHiA,"Shavige Malleshwara Hills, 1st Stage, Kumaraswamy Layout, Bengaluru",12.9072339,77.565569,3.9,https://www.google.com/maps/place/?q=place_id:ChIJl7y107EUrjsRG5HnWLrMHiA
Srinivas University,ChIJ562IWd0VrjsRF-lezNqHMPc,"CV Naidu Chambers, 651, 11th Cross Rd, 7th Block, Jayanagar, Bengaluru",12.9245647,77.5768226,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ562IWd0VrjsRF-lezNqHMPc
Manipal University,ChIJsZL7MmtrrjsRROJ2m6RfJ0g,"Manipal acadamy of banking survey no36/1 chokkanahalli jakkur, Bengaluru",12.8722119,77.6416369,5,https://www.google.com/maps/place/?q=place_id:ChIJsZL7MmtrrjsRROJ2m6RfJ0g
Bengaluru City University,ChIJTXjO3wwWrjsR9RKRZL55qAU,"XHFM+X9X, Central College Campus, Dr Ambedkar Rd, Bengaluru",12.9749803,77.5834875,4,https://www.google.com/maps/place/?q=place_id:ChIJTXjO3wwWrjsR9RKRZL55qAU
Bangalore North University Campus,ChIJ7z_OTA3_sTsRvpd3PJ9nWYU,"7WGG+2H2, Amaravathi",13.2750053,77.9263914,5,https://www.google.com/maps/place/?q=place_id:ChIJ7z_OTA3_sTsRvpd3PJ9nWYU
Atria University,ChIJgT951D0XrjsRoBfClAPsyb0,"1st Main Rd, Chola Nagar, Anandnagar, Hebbal, Bengaluru",13.033044,77.5922584,3.9,https://www.google.com/maps/place/?q=place_id:ChIJgT951D0XrjsRoBfClAPsyb0
Garden City Pre University College,ChIJrUmM8lQQrjsRKOdMB7eho4k,"2PC4+C22, Thambu Chetty Palya, Battarahalli, Bengaluru",13.0210087,77.7050274,4,https://www.google.com/maps/place/?q=place_id:ChIJrUmM8lQQrjsRKOdMB7eho4k
Bangalore University,ChIJ___P3Ls-rjsRyfy_veTAEa0,"Mysore Rd, Jnana Bharathi, Bengaluru",12.9504048,77.5020617,3.6,https://www.google.com/maps/place/?q=place_id:ChIJ___P3Ls-rjsRyfy_veTAEa0
"Students Center, BASE University",ChIJnfJ4Pks_rjsRPsQLwKaziCc,"WGX8+GVW, Chandra Layout Extension II Stage, Chandra Layout, Bengaluru",12.9488656,77.5172186,0,https://www.google.com/maps/place/?q=place_id:ChIJnfJ4Pks_rjsRPsQLwKaziCc
REVA University,ChIJ0x9lGnIZrjsR9gD2KP4l4t4,"Rukmini Knowledge Park, Kattigenahalli, SH 104, Srinivasa Nagar, Bengaluru",13.1163393,77.6352927,4.2,https://www.google.com/maps/place/?q=place_id:ChIJ0x9lGnIZrjsR9gD2KP4l4t4
Christ University Bannerghatta Road Campus,ChIJ1QO9pDIVrjsRJnqqK3eJVTE,"VHHW+48F, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru",12.8778133,77.5957995,4.2,https://www.google.com/maps/place/?q=place_id:ChIJ1QO9pDIVrjsRJnqqK3eJVTE
CMR University HRBR (City Campus),ChIJS020oCgXrjsRSTP4qYg8BcY,"2 3rd C Cross, 2nd A Cross Rd, Kalyan Nagar, Bengaluru",13.0194229,77.6424022,3.9,https://www.google.com/maps/place/?q=place_id:ChIJS020oCgXrjsRSTP4qYg8BcY
Chanakya University,ChIJG5y1fSE9rjsRXEF9ph9C1NU,"Prajnanam, NO.6/6, behind TELEPHONE EXCHANGE, Papreddy Palya, 2nd Stage, Naagarabhaavi, Bengaluru",12.9670298,77.5107625,5,https://www.google.com/maps/place/?q=place_id:ChIJG5y1fSE9rjsRXEF9ph9C1NU
University Of Agricultural Sciences,ChIJMXM8BycYrjsRbxBiOOngBjY,"No. 2477, Bellary Rd, Raj Mahal Vilas Extension, Yelahanka, Bengaluru",13.059984,77.5933911,0,https://www.google.com/maps/place/?q=place_id:ChIJMXM8BycYrjsRbxBiOOngBjY
RV University,ChIJuaQYbx2trzsRv6DrJBosCMY,"RV Vidyanikethan Post 8th Mile, Mysore Rd, Bengaluru",12.923315,77.4997099,4.5,https://www.google.com/maps/place/?q=place_id:ChIJuaQYbx2trzsRv6DrJBosCMY
Rai Tech University,ChIJp6B1vK0grjsRA96KXMpZ4Ts,"11th Mile Gallu, Doddaballapur - Nelamangala Road Mallohalli Village Kadanur, Doddaballapur, Taluk, Bengaluru",13.2248594,77.4725381,3.4,https://www.google.com/maps/place/?q=place_id:ChIJp6B1vK0grjsRA96KXMpZ4Ts
Vidyashilp University,ChIJjdxAfJEfrjsRHTfsPRDRnFM,"#125, Bettenahalli, Kundana Hobli, Chapparkallu Rd, Bengaluru",13.2009489,77.6027458,4.8,https://www.google.com/maps/place/?q=place_id:ChIJjdxAfJEfrjsRHTfsPRDRnFM
